11,0315845,5/10/2016,Anna Barros,Anna Barros!
12,0001255,6/10/2016,Suzanne Shanahan,Suzanne Shanahan
13,0315387,13/10/2016,President Brodhead,President Brodhead
14,0000000,19/10/2016,Science and Society,"Michael �Buz� Waitzkin is the Deputy Director of Science & Society and Senior Lecturing Fellow at Duke University. For the past fifteen years, he has taught at Duke and been a frequent lecturer at other universities on issues of science law, policy, ethics and politics, with a focus on developing biomedical technologies."
15,0099533,25/10/2016,Political Science,"Dr. Aldrich is a Pfizer-Pratt University Professor of Political Science. He specializes in American politics and behavior, formal theory, and methodology. Books he has authored or co-authored include Why Parties, Before the Convention, Linear Probability, Logit and Probit Models, and a series of books on elections, the most recent of which is Change and Continuity in the 2012 and 2014 Elections. His articles have appeared in the American Political Science Review, American Journal of Political Science, Journal of Politics, Public Choice, and other journals and edited volumes. He has received grants from the National Science Foundation and the National Endowment for the Humanities, and has served as co-editor of the American Journal of Political Science and as a Fellow at the Center for Advanced Study in the Behavioral Sciences. He has been President of the American Political Science Association, Midwest Political Science Association, and Southern Political Science Association.  He is a Fellow of the American Academy of Arts and Sciences."
16,0027858,26/10/2016,Student Affairs,"Dean Sue is the Associate Vice President for Student Affairs & Dean of Students. She was born in New Jersey and grew up in Charlotte, North Carolina. She completed a Bachelor of Arts with a major in Science Education and a Masters of Health Administration at Duke. While in graduate school, Sue was a Resident Advisor in Aycock and Hanes House. She worked in the Medical Center for 18 months and then, in 1979, joined the Student Affairs staff. Sue completed her J.D. at NCCU and her L.L.M. at Duke in 1993 and her Ed.D.in 2008 from the University of Pennsylvania.  In 1994, Sue joined the law firm of Maxwell, Freeman and Bowman in Durham where she practiced law for nine months. Although practicing law was challenging and interesting, Sue found that she truly missed working with students. Sue returned to Student Affairs in 1995 and has continued to thoroughly enjoy her life here."
17,0297571,27/10/2016,Art History,"Pedro Lasch is a professor of Art, Art History and Visual Studies at Duke University since 2002, a graduate faculty for the MFA in Experimental and Documentary Arts, and was a fellow at the Franklin Humanities Institute. He is a visual artist born in Mexico City, and based in the U.S. since 1994. He produces works of conceptual art, institutional critique, social practice, and site-specific art, as well as paintings, photographs, prints, and works in traditional media. Born in Mexico City, Lasch studied art at the Cooper Union with Dore Ashton, Hans Haacke, Day Gleeson, and Doug Ashford (Group Material), among others, and later completed an MFA in Fine Arts at Goldsmiths, University of London. Lasch has been regularly involved with the New York art and politics collective 16 Beaver Group since 2000. "
18,0198449,1/11/2016,Financial Markets,"Dr. Emma Rasiel is an Associate Professor of the Practice in the Department of Economics. Dr. Rasiel completed her PhD in finance at The Fuqua School of Business, Duke University, in 2003. She also received an MBA from the Wharton School of the University of Pennsylvania in 1990, and bachelor's and master's degrees in mathematics from Oxford University. Before beginning her PhD program at Fuqua, Dr Rasiel was an Executive Director in the London office of Goldman Sachs, a leading investment bank, where she traded bond options."
19,0055136,2/11/2016,Computing,"Owen Astrachan is a Professor of the Practice in the Department of Computer Science at Duke University. He has taught computer science at Duke for more than 25 years and taught high school for seven years before starting at Duke. In recent years, Professor Astrachan has worked with colleagues to redesign Duke�s introductory computer science course to reach a broader range of students at Duke from a variety of backgrounds and fields. He also leads the Computer Science Principles project, which is completely grounded in a philosophy of engendering interest in new and previously untargeted/uninterested students, broadening participation in computing. Professor Astrachan received an NSF Career award, the NSF CISE Distinguished Education Fellow award, received two teaching awards at Duke and a teaching award when teaching on a sabbatical leave at the University of British Columbia. Professor Astrachan holds a PhD in Computer Science and a Master of Arts in Teaching (Mathematics), both from Duke University."
20,0278412,3/11/2016,Social Implications of Biosciences,"Nita A. Farahany is a leading scholar on the ethical, legal, and social implications of biosciences and emerging technologies, particularly those related to neuroscience and behavioral genetics. She is the Director of Duke Science & Society, the Duke MA in Bioethics & Science Policy, and a Professor of Law & Philosophy. In 2010, Farahany was appointed by President Obama to the Presidential Commission for the Study of Bioethical Issues, and continues to serve as a member. Her recent scholarship includes ""Searching Secrets,"" 160 U. Penn. L. Rev. 1239 (2012) which explores the descriptive potential of intellectual property law as a metaphor to describe current Fourth Amendment search and seizure law and predict how the Fourth Amendment will apply to emerging technology."
21,0331940,3/11/2016,Black Performance Tradition,"Mark Anthony Neal is Professor of African & African American Studies and the founding director of the Center for Arts, Digital Culture and Entrepreneurship (CADCE) at Duke University where he offers courses on Black Masculinity, Popular Culture, and Digital Humanities, including signature courses on Michael Jackson & the Black Performance Tradition, and The History of Hip-Hop, which he co-teaches with Grammy Award Winning producer 9th Wonder (Patrick Douthit)."
22,0117347,7/11/2016,Activist Anthropology,"Orin Starn is Professor of Cultural Anthropology and History. He has wide-ranging interests including Latin America, Native North America, social movements and indigenous politics, the history of anthropology, activist anthropology, and, more recently, sports and society. His newest book, ""The Passion of Tiger Woods: An Anthropologist Reports on Golf, Race, and Celebrity Scandal,"" examines the superstar golfer's place in American society and culture. Starn is also the author of the award-winning ""Ishi's Brain: In Search of America's Last 'Wild' Indian,"" a chronicle of the life and legend of the last survivor of California's Yahi tribe. Earlier in his career, Starn worked for many years in Andean South America, mostly Peru. His ""Nightwatch: The Politics of Protest in the Andes"" recounts the history of one of Peru's major 20th century rural movements. Starn is also lead editor of the ""The Peru Reader: History, Culture, Politics"" and edits Duke's very successful World Readers Series. In 2005, he won Duke's highest undergraduate teaching award and was awarded the Sally Dalton Robinson Professorship in Cultural Anthropology. "
23,0097070,9/11/2016,Stochastic Theory of Fluid Flow,"Dr. Zbigniew Kabala is an Associate Professor of Civil and Environmental Engineering at Duke University. He earned his master's degree in civil engineering in 1980 from Poznan Polytechnic in Poznan, Poland, and master's degree in mathematics in 1982 from A. Mickiewicz University in Poznan. At Princeton University, he earned another master's and Ph.D. degrees in civil engineering and operations research in 1985 and 1988, respectively. Next, Dr. Kabala held one-year postdoctoral appointments at the MIT in the Ralph M. Parsons Laboratory and at the UC-Berkeley in the Department of Soil Science. He was then appointed an assistant professor of hydrology in the Department of Soils and Environmental Sciences at the UC-Riverside. He joined the Duke faculty in the summer of 1994."
24,0316163,15/11/2016,Women and the City,"Dr. Sarah Deutsch is a Professor in the History Department with a secondary appointment in the Women�s Studies Program at Duke University. She was previously the Dean of Social Sciences at Duke University. She holds a PhD in American History from Yale University, an MLitt in British Imperial History from the University of Oxford, and a BA in History from Yale University. Her work engages issues of difference, particularly racial, gender, class, and spatial formations. Her current book project is �Making a Modern U.S. West, 1898-1942.� She has written three other books, Women and the City: Gender, Space and Power in Boston, 1870-1940 (2000); From Ballots to Breadlines: American Women, 1920-1940 (1994); and No Separate Refuge: Culture, Class, and Gender on an Anglo-Hispanic Frontier in the American Southwest, 1880-1940 (1987)."
25,0116008,16/11/2016,Meta-Analysis in Medicine,"Dr. Dalene Stangl is Associate Chair and Director of Undergraduate Studies in the Department of Statistical Science at Duke University where she has been on the faculty since 1992 after graduating with a PhD in statistics from Carnegie Mellon University. She has held editorships for Journal of the American Statistical Association, The American Statistician, Bayesian Analysis, and Chance. She also co-edited two books, Bayesian Biostatistics and Meta-Analysis in Medicine and Health Policy. She has won numerous awards including ASA�s Youden Award for her research paper �Prediction and Decision Making Using Bayesian Hierarchical Models,� ASA Fellow for leadership in statistical education, outstanding contributions to research in health-related areas, and service to the profession, and Duke�s Trinity College Distinguished Teaching Award. "
26,0117196,17/11/2016,Globalization,"Leo Ching is Associate Professor and Chair of Asian & Middle Eastern Studies at Duke. His research interests include colonial discourse studies, postcolonial theory, Japanese mass culture, and theories of globalization and regionalism. He is the author of Becoming Japanese: the Politics of Identity Formation in Colonial Taiwan (UC Press, 2001). He has published in boundary 2, positions, Public Culture and Cultural Studies. His works have been translated into Chinese, Japanese, Korean, and Spanish."
